InvoiceNo,CustomerID,InvoiceDate,OrderRevenue,TotalUnits,UniqueProducts,InvoiceLines,Country
536425,13758,2010-12-01 12:08:00,362.45,137,17,17,United Kingdom
536437,13694,2010-12-01 12:12:00,842.12,1004,6,6,United Kingdom
536446,15983,2010-12-01 12:15:00,430.99,323,28,31,United Kingdom
536460,14849,2010-12-01 12:22:00,295.54,158,14,14,United Kingdom
536463,14849,2010-12-01 12:22:00,17.4,12,1,1,United Kingdom
536464,17968,2010-12-01 12:23:00,265.1,151,74,81,United Kingdom
536466,14849,2010-12-01 12:23:00,42.9,18,2,2,United Kingdom
536477,16210,2010-12-01 12:27:00,2474.7400000000002,1070,14,14,United Kingdom
536488,17897,2010-12-01 12:31:00,163.34,71,31,34,United Kingdom
536500,17377,2010-12-01 12:35:00,223.9,102,15,15,United Kingdom
536502,16552,2010-12-01 12:36:00,95.29,39,5,5,United Kingdom
536508,17181,2010-12-01 12:38:00,155.52,216,2,2,United Kingdom
536514,17951,2010-12-01 12:40:00,295.5,118,5,5,United Kingdom
536520,14729,2010-12-01 12:43:00,313.49,197,69,71,United Kingdom
536521,12748,2010-12-01 12:48:00,4.95,1,1,1,United Kingdom
536522,15012,2010-12-01 12:49:00,188.56,84,46,52,United Kingdom
536523,12868,2010-12-01 12:50:00,203.3,112,12,12,United Kingdom
536524,17572,2010-12-01 12:51:00,70.80000000000001,24,4,4,United Kingdom
536525,14078,2010-12-01 12:54:00,136.24,29,13,13,United Kingdom
536526,14001,2010-12-01 12:58:00,301.24,94,9,9,United Kingdom
536527,12662,2010-12-01 13:04:00,261.48,157,15,15,Germany
536528,15525,2010-12-01 13:17:00,274.93,113,44,48,United Kingdom
536529,14237,2010-12-01 13:20:00,161.0,38,9,9,United Kingdom
536530,17905,2010-12-01 13:21:00,200.5,71,22,22,United Kingdom
536531,15485,2010-12-01 13:23:00,939.59,391,22,22,United Kingdom
536532,12433,2010-12-01 13:24:00,1919.1399999999999,1852,73,73,Norway
536533,16955,2010-12-01 13:31:00,156.1,80,6,6,United Kingdom
536534,15350,2010-12-01 13:33:00,115.65,51,5,5,United Kingdom
536535,15605,2010-12-01 13:38:00,194.85000000000002,71,12,12,United Kingdom
536536,18144,2010-12-01 13:45:00,165.04999999999998,95,3,3,United Kingdom
536537,15922,2010-12-01 13:51:00,369.5,138,11,11,United Kingdom
536538,14594,2010-12-01 13:54:00,255.0,146,31,31,United Kingdom
536539,15165,2010-12-01 14:03:00,487.75,160,27,27,United Kingdom
536540,14911,2010-12-01 14:05:00,540.38,231,20,20,EIRE
536541,14911,2010-12-01 14:05:00,15.0,12,1,1,EIRE
536542,16456,2010-12-01 14:11:00,787.4,392,16,16,United Kingdom
536551,17346,2010-12-01 14:34:00,134.11,84,29,31,United Kingdom
536556,17643,2010-12-01 14:38:00,101.55,71,8,8,United Kingdom
536557,17841,2010-12-01 14:41:00,532.43,198,62,64,United Kingdom
536559,17873,2010-12-01 14:54:00,204.95,117,7,8,United Kingdom
536560,13093,2010-12-01 15:00:00,799.4,256,13,13,United Kingdom
536561,12921,2010-12-01 15:06:00,322.40000000000003,140,15,15,United Kingdom
536562,13468,2010-12-01 15:08:00,308.65000000000003,99,18,18,United Kingdom
536563,17760,2010-12-01 15:08:00,172.54,165,9,9,United Kingdom
536564,13468,2010-12-01 15:08:00,51.4,12,2,2,United Kingdom
536566,16928,2010-12-01 15:21:00,116.25,93,6,6,United Kingdom
536567,16048,2010-12-01 15:27:00,251.40000000000003,132,7,7,United Kingdom
536568,16048,2010-12-01 15:28:00,5.04,12,1,1,United Kingdom
536569,16274,2010-12-01 15:35:00,351.75,153,64,65,United Kingdom
536570,14496,2010-12-01 15:35:00,304.34000000000003,86,5,5,United Kingdom
536571,14696,2010-12-01 15:37:00,294.62,284,18,18,United Kingdom
536572,16539,2010-12-01 15:40:00,442.34999999999997,301,21,21,United Kingdom
536573,17025,2010-12-01 15:45:00,143.12,136,4,4,United Kingdom
536574,17025,2010-12-01 15:46:00,17.85,3,1,1,United Kingdom
536575,13777,2010-12-01 16:01:00,1552.98,858,8,8,United Kingdom
536576,13777,2010-12-01 16:11:00,2558.42,1122,16,16,United Kingdom
536577,13777,2010-12-01 16:13:00,497.0,388,4,4,United Kingdom
536578,17690,2010-12-01 16:15:00,279.6,104,8,8,United Kingdom
536579,13777,2010-12-01 16:16:00,315.96000000000004,276,2,2,United Kingdom
536580,17690,2010-12-01 16:17:00,97.19999999999999,66,6,6,United Kingdom
536581,13777,2010-12-01 16:19:00,330.0,200,1,1,United Kingdom
536582,12947,2010-12-01 16:21:00,304.04,184,17,17,United Kingdom
536583,13777,2010-12-01 16:21:00,198.0,120,1,1,United Kingdom
536584,13777,2010-12-01 16:22:00,1132.8000000000002,384,1,1,United Kingdom
536585,17460,2010-12-01 16:24:00,19.9,2,1,1,United Kingdom
536586,18229,2010-12-01 16:25:00,344.2,44,7,7,United Kingdom
536587,14142,2010-12-01 16:33:00,311.81,313,22,22,United Kingdom
536588,17069,2010-12-01 16:49:00,277.05,103,11,11,United Kingdom
536590,13065,2010-12-01 16:52:00,205.86,74,14,14,United Kingdom
536591,14606,2010-12-01 16:57:00,198.32,93,40,40,United Kingdom
536593,16835,2010-12-01 17:15:00,81.75,19,5,5,United Kingdom
536594,15235,2010-12-01 17:22:00,79.5,34,5,5,United Kingdom
536595,13576,2010-12-01 17:24:00,349.15,108,11,11,United Kingdom
536597,18011,2010-12-01 17:35:00,102.78999999999999,71,28,28,United Kingdom
536598,13090,2010-12-02 07:48:00,160.6,76,4,4,United Kingdom
536599,15694,2010-12-02 07:49:00,306.4,80,6,6,United Kingdom
536600,17850,2010-12-02 08:32:00,251.62,56,12,12,United Kingdom
536601,17850,2010-12-02 08:33:00,22.200000000000003,12,2,2,United Kingdom
536602,17850,2010-12-02 08:34:00,163.76,64,12,12,United Kingdom
536603,17850,2010-12-02 08:40:00,22.200000000000003,12,2,2,United Kingdom
536604,14741,2010-12-02 08:43:00,184.5,114,9,9,United Kingdom
536605,13715,2010-12-02 08:52:00,272.65000000000003,107,15,15,United Kingdom
536607,17732,2010-12-02 09:29:00,303.97,93,18,18,United Kingdom
536608,12855,2010-12-02 09:37:00,38.1,30,3,3,United Kingdom
536609,17850,2010-12-02 09:41:00,244.46,88,16,16,United Kingdom
536610,17850,2010-12-02 09:42:00,22.200000000000003,12,2,2,United Kingdom
536611,15752,2010-12-02 09:43:00,259.65000000000003,153,14,14,United Kingdom
536612,17850,2010-12-02 09:44:00,206.76,82,15,15,United Kingdom
536613,17855,2010-12-02 09:44:00,208.97,197,17,17,United Kingdom
536614,17850,2010-12-02 09:44:00,22.200000000000003,12,2,2,United Kingdom
536615,14047,2010-12-02 10:09:00,286.92,108,12,12,United Kingdom
536616,17925,2010-12-02 10:10:00,244.08,72,1,1,United Kingdom
536617,13941,2010-12-02 10:17:00,1095.12,644,11,11,United Kingdom
536618,17017,2010-12-02 10:17:00,780.12,600,21,21,United Kingdom
536619,17017,2010-12-02 10:18:00,97.19999999999999,48,2,2,United Kingdom
536620,14135,2010-12-02 10:27:00,485.25,741,23,23,United Kingdom
536621,13108,2010-12-02 10:35:00,350.06,298,10,10,United Kingdom
536623,15601,2010-12-02 10:39:00,768.38,666,48,48,United Kingdom
536624,13418,2010-12-02 10:45:00,610.64,228,22,22,United Kingdom
536626,13418,2010-12-02 10:46:00,12.600000000000001,6,1,1,United Kingdom
536627,15658,2010-12-02 10:53:00,306.2,64,14,14,United Kingdom
536628,17850,2010-12-02 10:54:00,230.56,86,16,16,United Kingdom
536629,17850,2010-12-02 10:55:00,22.200000000000003,12,2,2,United Kingdom
536630,17850,2010-12-02 10:56:00,244.46,88,16,16,United Kingdom
536631,17850,2010-12-02 10:58:00,22.200000000000003,12,2,2,United Kingdom
536632,14388,2010-12-02 11:02:00,312.8,170,21,21,United Kingdom
536633,14901,2010-12-02 11:20:00,204.15,105,18,18,United Kingdom
536634,18041,2010-12-02 11:21:00,193.78,159,14,14,United Kingdom
536635,15955,2010-12-02 11:22:00,572.38,246,20,20,United Kingdom
536636,15070,2010-12-02 11:23:00,106.2,36,1,1,United Kingdom
536637,18041,2010-12-02 11:35:00,219.66,157,55,59,United Kingdom
536638,16244,2010-12-02 11:41:00,1056.63,619,63,63,United Kingdom
536639,15111,2010-12-02 11:45:00,288.5,106,16,16,United Kingdom
536641,12748,2010-12-02 11:46:00,4.25,1,1,1,United Kingdom
536643,14390,2010-12-02 11:57:00,223.7,74,26,27,United Kingdom
536663,16546,2010-12-02 12:07:00,299.40000000000003,156,6,6,United Kingdom
536667,15260,2010-12-02 12:09:00,362.5,214,16,16,United Kingdom
536670,15260,2010-12-02 12:09:00,58.0,40,1,1,United Kingdom
536671,13305,2010-12-02 12:10:00,136.2,132,5,5,United Kingdom
536672,14491,2010-12-02 12:10:00,127.2,40,4,4,United Kingdom
536673,14060,2010-12-02 12:11:00,339.84,504,8,8,United Kingdom
536674,15923,2010-12-02 12:16:00,127.08,122,21,21,United Kingdom
536676,16752,2010-12-02 12:18:00,207.5,54,9,9,United Kingdom
536681,17287,2010-12-02 12:22:00,113.92,46,13,13,United Kingdom
536685,17850,2010-12-02 12:23:00,380.46,108,17,17,United Kingdom
536688,17850,2010-12-02 12:24:00,22.200000000000003,12,2,2,United Kingdom
536690,17850,2010-12-02 12:25:00,331.26,92,17,17,United Kingdom
536693,17850,2010-12-02 12:26:00,22.200000000000003,12,2,2,United Kingdom
536698,15363,2010-12-02 12:28:00,326.0,144,16,16,United Kingdom
536707,12915,2010-12-02 12:33:00,199.65,41,13,13,United Kingdom
536732,15544,2010-12-02 12:47:00,354.54,274,26,26,United Kingdom
536733,15738,2010-12-02 12:50:00,329.65000000000003,255,14,14,United Kingdom
536735,17381,2010-12-02 12:58:00,211.2,128,1,1,United Kingdom
536736,17381,2010-12-02 12:59:00,824.88,1296,5,5,United Kingdom
536738,15827,2010-12-02 13:06:00,98.18,42,7,7,United Kingdom
536739,14180,2010-12-02 13:08:00,201.75,31,12,12,United Kingdom
536740,15827,2010-12-02 13:08:00,92.75,67,7,7,United Kingdom
536741,13117,2010-12-02 13:11:00,202.12,130,15,15,United Kingdom
536742,16916,2010-12-02 13:14:00,196.43,102,48,49,United Kingdom
536743,17964,2010-12-02 13:32:00,261.76,195,35,35,United Kingdom
536744,14466,2010-12-02 13:36:00,379.75,137,10,10,United Kingdom
536745,17235,2010-12-02 13:38:00,341.9,126,10,10,United Kingdom
536746,16510,2010-12-02 13:39:00,248.1,92,13,13,United Kingdom
536747,17802,2010-12-02 13:44:00,100.2,75,12,12,United Kingdom
536748,15107,2010-12-02 13:45:00,116.0,26,5,5,United Kingdom
536749,17976,2010-12-02 13:49:00,321.79,93,56,57,United Kingdom
536750,17850,2010-12-02 14:04:00,434.8,118,19,19,United Kingdom
536751,17850,2010-12-02 14:05:00,22.200000000000003,12,2,2,United Kingdom
536752,17850,2010-12-02 14:06:00,390.66,104,19,19,United Kingdom
536753,17850,2010-12-02 14:07:00,22.200000000000003,12,2,2,United Kingdom
536754,14449,2010-12-02 14:09:00,210.24,142,50,50,United Kingdom
536759,16781,2010-12-02 14:26:00,311.25,113,17,17,United Kingdom
536761,13491,2010-12-02 14:30:00,98.9,36,7,7,United Kingdom
536762,16186,2010-12-02 14:40:00,307.68,231,20,20,United Kingdom
536763,17685,2010-12-02 14:42:00,452.52,331,12,12,United Kingdom
536769,17581,2010-12-02 14:47:00,668.4,375,31,31,United Kingdom
536771,17581,2010-12-02 14:49:00,118.38,66,7,7,United Kingdom
536777,15732,2010-12-02 15:00:00,138.1,97,5,5,United Kingdom
536778,13138,2010-12-02 15:03:00,193.23,125,14,14,United Kingdom
536779,15823,2010-12-02 15:08:00,15.0,1,1,1,United Kingdom
536781,17460,2010-12-02 15:14:00,50.400000000000006,24,1,1,United Kingdom
536782,17567,2010-12-02 15:18:00,517.95,244,27,27,United Kingdom
536783,15061,2010-12-02 15:19:00,4076.48,2909,38,38,United Kingdom
536784,15061,2010-12-02 15:20:00,2170.9,1330,25,25,United Kingdom
536785,15061,2010-12-02 15:22:00,2730.96,1008,6,6,United Kingdom
536786,15061,2010-12-02 15:23:00,324.0,144,2,2,United Kingdom
536787,17850,2010-12-02 15:24:00,192.46,76,13,13,United Kingdom
536788,15061,2010-12-02 15:25:00,75.0,60,1,1,United Kingdom
536789,17850,2010-12-02 15:25:00,22.200000000000003,12,2,2,United Kingdom
536790,17850,2010-12-02 15:26:00,532.01,141,17,17,United Kingdom
536791,17850,2010-12-02 15:27:00,44.400000000000006,24,2,2,United Kingdom
536792,15061,2010-12-02 15:28:00,30.0,24,1,1,United Kingdom
536793,16203,2010-12-02 15:39:00,170.7,70,11,11,United Kingdom
536794,13767,2010-12-02 15:40:00,322.8,96,4,4,United Kingdom
536795,15640,2010-12-02 15:40:00,333.72,180,7,7,United Kingdom
536796,15574,2010-12-02 15:46:00,349.04,159,96,105,United Kingdom
536797,16770,2010-12-02 15:49:00,130.8,56,6,6,United Kingdom
536798,17838,2010-12-02 15:55:00,684.46,454,29,29,United Kingdom
536799,17228,2010-12-02 16:00:00,183.3,122,18,18,United Kingdom
536800,14829,2010-12-02 16:12:00,236.97,190,19,19,United Kingdom
536802,17412,2010-12-02 16:29:00,197.3,50,8,8,United Kingdom
536803,14911,2010-12-02 16:33:00,22.5,6,1,1,EIRE
536804,14031,2010-12-02 16:34:00,1714.25,531,25,25,United Kingdom
536805,14775,2010-12-02 16:38:00,406.56,384,20,20,United Kingdom
536806,12971,2010-12-02 16:42:00,45.12,84,5,5,United Kingdom
536808,17659,2010-12-02 16:46:00,247.8,64,12,12,United Kingdom
536809,15299,2010-12-02 16:48:00,1003.2,1824,1,1,United Kingdom
536810,15299,2010-12-02 16:50:00,303.96,204,1,1,United Kingdom
536811,15299,2010-12-02 16:51:00,527.85,69,1,1,United Kingdom
536813,15646,2010-12-02 16:59:00,189.8,230,17,17,United Kingdom
536819,13402,2010-12-02 17:12:00,308.28000000000003,190,17,17,United Kingdom
536821,17757,2010-12-02 17:17:00,143.45000000000002,80,23,23,United Kingdom
536823,13011,2010-12-02 17:22:00,50.550000000000004,13,3,3,United Kingdom
536824,13798,2010-12-02 17:24:00,408.0,160,1,1,United Kingdom
536830,16754,2010-12-02 17:38:00,2002.4,4280,2,2,United Kingdom
536831,16029,2010-12-02 17:40:00,569.4,260,4,4,United Kingdom
536832,16634,2010-12-02 17:41:00,164.8,64,8,8,United Kingdom
536833,18239,2010-12-02 17:48:00,438.1,208,29,29,United Kingdom
536834,14576,2010-12-02 17:51:00,35.400000000000006,12,1,1,United Kingdom
536835,13145,2010-12-02 18:06:00,295.0,1,1,1,United Kingdom
536836,18168,2010-12-02 18:08:00,263.3,133,26,27,United Kingdom
536837,14395,2010-12-02 18:15:00,308.68,174,27,27,United Kingdom
536838,14865,2010-12-02 18:23:00,37.2,96,3,3,United Kingdom
536839,15093,2010-12-02 18:25:00,623.73,879,16,16,United Kingdom
536840,12738,2010-12-02 18:27:00,155.35,148,11,11,Germany
536841,16150,2010-12-02 18:27:00,393.42,174,22,22,United Kingdom
536842,17552,2010-12-02 18:45:00,263.62,130,11,11,United Kingdom
536843,17552,2010-12-02 18:46:00,34.9,14,2,2,United Kingdom
536844,14236,2010-12-02 18:49:00,189.3,38,3,3,United Kingdom
536845,17961,2010-12-02 19:18:00,127.55,45,28,29,United Kingdom
536846,14573,2010-12-02 19:59:00,402.0,126,68,70,United Kingdom
536847,17135,2010-12-03 09:31:00,215.57999999999998,222,9,9,United Kingdom
536848,13408,2010-12-03 09:39:00,534.0,280,3,3,United Kingdom
536849,17396,2010-12-03 09:45:00,397.5,106,3,3,United Kingdom
536851,12967,2010-12-03 09:49:00,1368.4,360,15,15,United Kingdom
536852,12686,2010-12-03 09:51:00,89.14,107,7,7,France
536856,13370,2010-12-03 10:26:00,754.87,343,39,39,United Kingdom
536857,16883,2010-12-03 10:33:00,128.03,54,17,17,United Kingdom
536858,13520,2010-12-03 10:36:00,303.4,110,6,6,Switzerland
536859,12841,2010-12-03 10:43:00,294.25,186,24,24,United Kingdom
536860,16905,2010-12-03 10:43:00,254.39999999999998,108,10,10,United Kingdom
536861,12427,2010-12-03 10:44:00,303.5,79,10,10,Germany
536863,17967,2010-12-03 11:19:00,112.27,73,41,42,United Kingdom
536874,16891,2010-12-03 11:35:00,217.26,86,63,63,United Kingdom
536884,14589,2010-12-03 11:42:00,39.75,5,3,3,United Kingdom
536890,14156,2010-12-03 11:48:00,322.2,1548,3,3,EIRE
536938,14680,2010-12-03 12:05:00,1680.88,464,14,14,United Kingdom
536943,17884,2010-12-03 12:11:00,187.51,170,28,28,United Kingdom
536944,12557,2010-12-03 12:20:00,620.0,400,5,5,Spain
536945,14083,2010-12-03 12:24:00,294.01,152,62,62,United Kingdom
536946,13013,2010-12-03 12:28:00,841.94,363,29,29,United Kingdom
536947,13013,2010-12-03 12:29:00,686.4,439,38,38,United Kingdom
536954,17809,2010-12-03 12:41:00,425.0,100,1,1,United Kingdom
536956,14210,2010-12-03 12:43:00,304.95000000000005,93,15,15,United Kingdom
536957,17809,2010-12-03 12:43:00,791.7,234,13,13,United Kingdom
536960,16477,2010-12-03 12:48:00,225.65,125,14,14,United Kingdom
536967,12600,2010-12-03 12:57:00,76.5,31,2,2,Germany
536968,16013,2010-12-03 13:09:00,534.0,168,2,2,United Kingdom
536969,16013,2010-12-03 13:10:00,528.0,192,1,1,United Kingdom
536970,17949,2010-12-03 13:12:00,1314.0,120,1,1,United Kingdom
536971,12779,2010-12-03 13:40:00,248.16,140,8,8,Poland
536972,16926,2010-12-03 13:42:00,230.25,35,14,14,United Kingdom
536973,17787,2010-12-03 13:43:00,736.28,356,30,31,United Kingdom
536974,12682,2010-12-03 13:59:00,336.24,132,16,16,France
536975,14911,2010-12-03 14:04:00,1705.65,827,71,71,EIRE
536976,14723,2010-12-03 14:18:00,149.8,76,19,19,United Kingdom
536977,17954,2010-12-03 14:18:00,108.78,60,14,14,United Kingdom
536980,17819,2010-12-03 14:26:00,591.47,239,12,12,United Kingdom
536981,14723,2010-12-03 14:26:00,97.39,38,22,23,United Kingdom
536983,12712,2010-12-03 14:30:00,175.53,60,9,9,Germany
536984,17841,2010-12-03 14:35:00,339.54,136,29,29,United Kingdom
536985,15373,2010-12-03 14:40:00,334.3,42,11,11,United Kingdom
536986,16140,2010-12-03 14:40:00,124.14,104,7,7,United Kingdom
536987,17198,2010-12-03 14:54:00,272.01,124,52,53,United Kingdom
536988,17238,2010-12-03 15:05:00,254.39000000000001,100,38,38,United Kingdom
536989,17238,2010-12-03 15:10:00,115.7,26,22,22,United Kingdom
536990,12793,2010-12-03 15:14:00,131.8,65,7,7,Portugal
536992,15769,2010-12-03 15:16:00,91.8,36,1,1,United Kingdom
536993,14396,2010-12-03 15:19:00,110.35000000000001,39,34,34,United Kingdom
536994,14898,2010-12-03 15:25:00,98.5,18,3,3,United Kingdom
537022,12725,2010-12-03 15:45:00,427.8,164,24,24,Italy
537023,16725,2010-12-03 16:02:00,122.15,64,25,25,United Kingdom
537026,12395,2010-12-03 16:35:00,346.1,528,12,12,Belgium
537030,16455,2010-12-03 16:44:00,246.3,142,13,13,United Kingdom
537031,16455,2010-12-03 16:45:00,135.0,108,6,6,United Kingdom
537034,13081,2010-12-03 17:20:00,2355.1800000000003,1338,73,73,United Kingdom
537035,13081,2010-12-03 17:21:00,11.6,8,1,1,United Kingdom
537036,15545,2010-12-03 17:28:00,135.32999999999998,75,31,31,United Kingdom
537037,17243,2010-12-05 10:03:00,256.90000000000003,92,11,11,United Kingdom
537038,15465,2010-12-05 10:12:00,535.75,125,7,7,United Kingdom
537040,13089,2010-12-05 10:27:00,734.3999999999999,192,2,2,United Kingdom
537041,16033,2010-12-05 10:36:00,155.64000000000001,52,26,26,United Kingdom
537042,13838,2010-12-05 10:45:00,230.66,80,48,49,United Kingdom
537044,18055,2010-12-05 10:52:00,431.45,93,19,19,United Kingdom
537045,15038,2010-12-05 10:54:00,118.88,43,30,32,United Kingdom
537046,18109,2010-12-05 10:58:00,277.45,55,14,14,United Kingdom
537047,13069,2010-12-05 11:02:00,326.6,181,41,41,United Kingdom
537048,13069,2010-12-05 11:03:00,5.9,2,2,2,United Kingdom
537049,16241,2010-12-05 11:04:00,277.65000000000003,97,14,14,United Kingdom
537050,14800,2010-12-05 11:10:00,555.84,437,51,51,United Kingdom
537051,15708,2010-12-05 11:12:00,317.29,121,31,37,United Kingdom
537052,16839,2010-12-05 11:15:00,552.24,232,5,5,United Kingdom
537053,16168,2010-12-05 11:38:00,275.8,124,3,3,United Kingdom
537054,16931,2010-12-05 11:40:00,152.05,82,40,41,United Kingdom
537055,16814,2010-12-05 11:45:00,273.29,107,15,15,United Kingdom
537057,15351,2010-12-05 11:49:00,274.67,129,49,51,United Kingdom
537058,13269,2010-12-05 11:51:00,351.43,197,12,12,United Kingdom
537059,14813,2010-12-05 11:54:00,125.43,58,20,23,United Kingdom
537065,12567,2010-12-05 11:57:00,1526.92,611,63,63,France
537067,14813,2010-12-05 11:57:00,27.45,8,6,6,United Kingdom
537077,17062,2010-12-05 11:59:00,179.64000000000001,163,26,26,United Kingdom
537081,15332,2010-12-05 12:00:00,1145.06,442,25,25,Lithuania
537086,15332,2010-12-05 12:01:00,438.0,168,8,8,Lithuania
537090,15332,2010-12-05 12:02:00,15.0,12,1,1,Lithuania
537111,14810,2010-12-05 12:08:00,177.89,83,22,22,United Kingdom
537117,16353,2010-12-05 12:09:00,204.0,48,1,1,United Kingdom
537126,18118,2010-12-05 12:13:00,472.11,211,116,117,United Kingdom
537127,13831,2010-12-05 12:13:00,408.0,160,2,2,United Kingdom
537128,12841,2010-12-05 12:15:00,211.74,135,23,23,United Kingdom
537129,13506,2010-12-05 12:15:00,301.12,232,17,17,United Kingdom
537130,17796,2010-12-05 12:23:00,114.65,28,19,19,United Kingdom
537131,15716,2010-12-05 12:26:00,529.4,429,35,37,United Kingdom
537133,18156,2010-12-05 12:29:00,186.88,68,50,50,United Kingdom
537134,16983,2010-12-05 12:34:00,163.49,107,9,9,United Kingdom
537135,17059,2010-12-05 12:35:00,722.36,471,115,117,United Kingdom
537136,12748,2010-12-05 12:42:00,267.46000000000004,147,34,34,United Kingdom
537137,16327,2010-12-05 12:43:00,535.6,392,66,66,United Kingdom
537138,17211,2010-12-05 12:44:00,273.3,204,33,33,United Kingdom
537139,17026,2010-12-05 12:47:00,33.15,25,3,3,United Kingdom
537140,12748,2010-12-05 12:53:00,65.57,51,33,36,United Kingdom
537141,15570,2010-12-05 12:57:00,517.65,165,37,44,United Kingdom
537142,12748,2010-12-05 12:57:00,41.45,16,15,15,United Kingdom
537144,15880,2010-12-05 13:00:00,329.03000000000003,202,95,96,United Kingdom
537153,16718,2010-12-05 13:03:00,606.0500000000001,407,41,44,United Kingdom
537154,15808,2010-12-05 13:05:00,953.05,327,54,55,United Kingdom
537155,12748,2010-12-05 13:05:00,73.72,63,30,30,United Kingdom
537156,17858,2010-12-05 13:08:00,236.25,75,17,17,United Kingdom
537158,16393,2010-12-05 13:10:00,184.8,86,10,10,United Kingdom
537159,14527,2010-12-05 13:17:00,292.95,60,28,28,United Kingdom
537160,14161,2010-12-05 13:18:00,283.15,128,26,26,United Kingdom
537163,17863,2010-12-05 13:21:00,384.71999999999997,276,21,21,United Kingdom
537176,16411,2010-12-05 13:26:00,128.55,69,19,20,United Kingdom
537179,13767,2010-12-05 13:29:00,806.28,284,13,13,United Kingdom
537192,16402,2010-12-05 13:42:00,205.65,102,53,54,United Kingdom
537193,15023,2010-12-05 13:49:00,429.40000000000003,226,32,34,United Kingdom
537194,17402,2010-12-05 13:53:00,271.2,80,1,1,United Kingdom
537195,15311,2010-12-05 13:55:00,635.64,298,32,32,United Kingdom
537196,15426,2010-12-05 13:55:00,382.57,149,74,76,United Kingdom
537197,12647,2010-12-05 14:02:00,286.5,79,16,16,Germany
537198,12647,2010-12-05 14:03:00,85.5,11,2,2,Germany
537199,15894,2010-12-05 14:06:00,151.44,111,32,34,United Kingdom
537200,15867,2010-12-05 14:17:00,111.65,46,28,28,United Kingdom
537201,12472,2010-12-05 14:19:00,1631.3,972,70,70,Germany
